cen,dmn
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.102578,0.123317
0.353882,0.064091
0.031319,0.008385
0.346218,0.170723
0.355412,0.230655
0.323262,0.147981
0.273494,0.167431
0.010674,-0.00412
0.207331,0.091801
0.355013,0.127222
0.333837,0.19119
0.109908,0.077628
0.067417,0.035242
0.067909,0.058948
0.06298,0.064529
-0.058598,0.028121
-0.184338,0.014211
-0.024333,0.010123
-0.191415,-0.196068
-0.007131,-0.038623
0.263116,-0.012245
0.343607,0.149334
0.369853,0.129504
0.19922,0.057546
0.191235,0.082321
0.054437,0.053799
0.201563,0.080858
0.086107,-0.029183
0.024958,-0.035741
0.016239,-0.006277
0.065426,0.006584
0.096056,-0.026302
0.100124,0.141568
0.108611,0.114626
0.090888,0.110766
0.079986,0.058865
0.103402,0.088718
0.13673,0.092266
0.143481,0.094792
0.142588,0.094806
0.235336,0.131546
0.208775,0.107017
0.215238,0.178063
0.246611,0.177144
0.169768,0.073784
0.216072,0.047238
0.198027,0.082733
0.095271,-0.083282
0.098854,0.054829
0.107505,0.025996
0.161686,0.084268
0.174121,0.032412
0.150023,0.036143
0.178527,0.084985
0.056087,0.021121
-0.001605,0.042497
-0.052225,0.010269
-0.051898,0.025538
0.113138,0.018531
0.083543,-0.114171
0.032316,-0.139863
0.061989,-0.117288
-0.083641,-0.254095
-0.158814,-0.206176
-0.137974,-0.196956
-0.194861,-0.213396
-0.098904,-0.177255
-0.137214,-0.1608
-0.070654,0.020953
-0.127586,0.054553
-0.08871,0.224151
-0.119154,0.175744
-0.073791,-0.02444
0.028507,-0.170086
-0.081754,-0.237235
-0.124213,-0.106705
-0.069355,-0.111416
-0.100316,-0.232297
-0.043342,-0.261966
-0.035897,-0.24543
0.009186,-0.247129
-0.074454,-0.21716
-0.057324,-0.261362
-0.013616,-0.225642
-0.009192,-0.103741
0.136936,-0.025095
0.181066,-0.018926
0.215724,0.038541
0.286046,0.017287
0.247146,-0.075716
0.17732,-0.072771
0.045029,-0.132844
-0.028707,-0.11613
-0.061712,-0.104286
-0.10446,-0.039779
0.01836,-0.091274
-0.023247,-0.132119
-0.038096,-0.119708
0.082096,-0.203189
0.086633,-0.212831
0.097787,-0.161898
0.126842,-0.078645
0.102227,0.043413
-0.009592,0.033706
0.030547,0.048779
0.119543,0.018501
0.141574,0.011835
0.072936,0.029235
0.095694,0.016334
0.149161,-0.041378
0.105258,0.041818
0.16359,0.004698
0.222407,-0.1646
0.26465,-0.151098
0.279541,-0.187392
0.355871,-0.141104
0.365516,-0.130921
0.423837,-0.076855
0.361317,-0.001508
0.351075,-0.0601
0.34526,-0.061846
0.180409,-0.039255
0.220651,-0.057805
0.264096,-0.058348
0.274515,-0.013847
0.382813,-0.100289
0.275384,-0.122403
0.337865,-0.124938
0.362043,-0.060379
0.185649,-0.09714
0.08511,-0.087054
0.027015,-0.063252
0.027833,-0.006668
0.054684,-0.050172
-0.069878,-0.046841
-0.072205,-0.182142
0.017991,-0.210503
-0.087658,-0.216647
-0.088024,-0.226332
0.092677,-0.249853
-0.005558,-0.273378
